 "word","cnt","feetscore","feettype" 
 REVETTE,2,0-1,mud 
 REVIER,3,1-0-0,mud 
 REVIEW,2,2-1,mud 
 REVIEWED,2,0-1,mud 
 REVIEWER,3,0-1-0,mud 
 REVIEWERS,3,0-1-0,mud 
 REVIEWING,3,0-1-0,mud 
 REVIEWS,2,0-1,mud 
 REVIGLIO,4,0-1-0-0,mud 
 REVILE,2,0-1,mud 
 REVILED,2,0-1,mud 
 REVILLA,3,0-1-0,mud 
 REVILLE,2,1-2,mud 
 REVIS,2,1-0,mud 
 REVISE,2,0-1,mud 
 REVISED,2,0-1,mud 
 REVISES,3,0-1-0,mud 
 REVISING,3,0-1-0,mud 
 REVISION,3,0-1-0,mud 
 REVISIONISM,5,0-1-0-2-0,mud 
 REVISIONIST,4,0-1-0-0,mud 
 REVISIONISTS,4,0-1-0-0,mud 
 REVISIONS,3,0-1-0,mud 
 REVISIT,3,0-1-0,mud 
 REVISITED,4,0-1-0-0,mud 
 REVISITING,4,0-1-0-0,mud 
 REVISITS,3,0-1-0,mud 
 REVITALIZATION,6,2-2-0-0-1-0,mud 
 REVITALIZE,4,0-1-0-2,mud 
 REVITALIZED,4,0-1-0-2,mud 
 REVITALIZING,5,0-1-0-2-0,mud 
 REVIVAL,3,0-1-0,mud 
 REVIVALIST,4,0-1-0-0,mud 
 REVIVALS,3,0-1-0,mud 
 REVIVE,2,0-1,mud 
 REVIVED,2,0-1,mud 
 REVIVES,2,0-1,mud 
 REVIVING,3,0-1-0,mud 
 REVLON,2,1-0,mud 
 REVOCABLE,4,1-0-0-0,mud 
 REVOCATION,4,2-0-1-0,mud 
 REVOCATIONS,4,2-0-1-0,mud 
 REVOIR,2,0-1,mud 
 REVOKE,2,0-1,mud 
 REVOKED,2,0-1,mud 
 REVOKING,3,0-1-0,mud 
 REVOLT,2,0-1,mud 
 REVOLTED,3,0-1-0,mud 
 REVOLTING,3,0-1-0,mud 
 REVOLTS,2,0-1,mud 
 REVOLUCION,5,2-0-2-0-1,mud 
 REVOLUCIONARIO,8,2-0-2-0-0-1-0-0,mud 
 REVOLUTION,4,2-0-1-0,mud 
 REVOLUTIONARIES,6,2-0-1-0-2-0,mud 
 REVOLUTIONARY,6,2-0-1-0-2-0,mud 
 REVOLUTIONIST,5,2-0-1-0-0,mud 
 REVOLUTIONISTS,5,2-0-1-0-0,mud 
 REVOLUTIONIZE,5,2-0-1-0-2,mud 
 REVOLUTIONIZED,5,2-0-1-0-2,mud 
 REVOLUTIONIZING,6,2-0-1-0-2-0,mud 
 REVOLUTIONS,4,2-0-1-0,mud 
 REVOLVE,2,0-1,mud 
 REVOLVED,2,0-1,mud 
 REVOLVER,3,0-1-0,mud 
 REVOLVERS,3,0-1-0,mud 
 REVOLVES,2,0-1,mud 
 REVOLVING,3,0-1-0,mud 
 REVORD,2,0-1,mud 
 REVS,1,1,mud 
 REVSON,2,1-0,mud 
 REVUE,2,0-1,mud 
 REVUELTA,3,0-1-0,mud 
 REVUES,2,0-1,mud 
 REVULSION,3,0-1-0,mud 
 REVVED,1,1,mud 
 REVVING,2,1-0,mud 
 REVZIN,2,1-0,mud 
 REW,1,1,mud 
 REWARD,2,0-1,mud 
 REWARDED,3,0-1-0,mud 
 REWARDING,3,0-1-0,mud 
 REWARDS,2,0-1,mud 
 REWATCHING,3,0-1-0,mud 
 REWERTS,2,1-0,mud 
 REWEY,2,1-0,mud 
 REWIND,2,1-0,mud 
 REWIRE,3,0-1-0,mud 
 REWIRED,3,0-1-0,mud 
 REWIRING,4,0-1-0-0,mud 
 REWIS,2,1-0,mud 
 REWORD,2,0-1,mud 
 REWORK,2,0-1,mud 
